suggested_icd_name,ayurveda_term,ayurveda_code,ayurveda_confidence,ayurveda_justification,siddha_term,siddha_code,siddha_confidence,siddha_justification,unani_term,unani_code,unani_confidence,unani_justification
Disorders of the palate,,,,,,,,,Amrāḍ-i-Ḥanak,CE,90%,"The Unani term 'Amrāḍ-i-Ḥanak' explicitly refers to 'diseases of the palate', directly corresponding to the broad category encompassing various potential palatal disorders within ICD-11, avoiding more specific diagnoses without further clinical details."
K00-K09 Diseases of the teeth and supporting structures,,,,,,,,,Amrāḍ-i-Dandān,CG,95%,"The Unani term 'Amrāḍ-i-Dandān' directly translates to 'diseases of the teeth,' which encompasses the broad category of dental conditions covered by the ICD-11 chapter K00-K09."
K05-Gingival diseases,,,,,,,,,Amrāḍ-i-Litha,CH,95%,"The Unani term 'Amrāḍ-i-Litha', meaning 'diseases of the gum', directly corresponds to the ICD-11 category K05, which encompasses various gingival diseases, including gingivitis and periodontitis."
Disorders of the pharynx and tonsils,,,,,,,,,Amrāḍ-i-Ḥalq,CI,90%,"The Unani term 'Amrāḍ-i-Ḥalq', meaning 'diseases of the throat', directly maps to conditions affecting the pharynx and tonsils, which are encompassed within 'Disorders of the pharynx and tonsils' in ICD-11."
"K70, Diseases of the uvula and soft palate",,,,,,,,,Amrāḍ-i-Lahāt,CJ,95%,"The Unani term 'Amrāḍ-i-Lahāt' explicitly refers to diseases of the uvula, which directly corresponds to the ICD-11 chapter on diseases of the oral cavity, specifically K70 encompassing uvula and soft palate disorders."
Disorders of the trachea,,,,,,,,,Amrāḍ-i-Qaṣaba’-i-Ri’a,DA,95%,"The provided Unani term 'Amrāḍ-i-Qaṣaba’-i-Ri’a' directly translates to 'diseases of the trachea,' which is a precise description encompassing various conditions included within the broad ICD-11 category 'Disorders of the trachea'."
"J40-J47, Diseases of the respiratory system",,,,,,,,,Amrāḍ-i-Ri’a,DB,90%,"The Unani term 'Amrāḍ-i-Ri’a' directly translates to 'diseases of the lungs,' which falls under the broad ICD-11 chapter J40-J47 encompassing various lung diseases;  a more specific ICD-11 code would require a more precise diagnosis."
Diseases of the esophagus,,,,,,,,,Amrāḍ-i-Marī,FA,95%,"The provided Unani term 'Amrāḍ-i-Marī' explicitly refers to 'Diseases of the oesophagus,' which directly maps to the broad category encompassing various esophageal disorders within ICD-11, avoiding overly specific diagnoses without more detailed clinical information."
"K52, Diseases of stomach",,,,,,,,,Amrāḍ-i-Mi‘da,FB,90%,"The Unani term 'Amrāḍ-i-Mi‘da' directly translates to 'diseases of the stomach,' which comprehensively maps to the ICD-11 category K52 encompassing various stomach disorders."
Diseases of the intestine,,,,,,,,,Amrāḍ-i-Am‘ā',FE,90%,"The Unani term 'Amrāḍ-i-Am‘ā'' directly translates to 'diseases of the intestine,' which encompasses a broad range of conditions aligning with the general ICD-11 chapter on intestinal diseases, though lacking the specificity for a single code.  Therefore, a general category is the most appropriate mapping."
Diseases of the anus and rectum,,,,,,,,,Amrāḍ-i-Maq‘ad,FF,95%,"The Unani term 'Amrāḍ-i-Maq‘ad' explicitly refers to diseases of the anus and anal canal, which directly corresponds to the ICD-11 category encompassing conditions affecting this anatomical region."
Disorders of the urinary bladder,,,,,,,,,Amrāḍ-i-Mathāna,GB,95%,"The Unani term 'Amrāḍ-i-Mathāna' explicitly refers to bladder diseases, which directly corresponds to the broad category of 'Disorders of the urinary bladder' within ICD-11, encompassing various specific bladder conditions."
Disorders of the male genital organs,,,,,,,,,Amrāḍ-i-Khuṣya,HB,95%,"The Unani term 'Amrāḍ-i-Khuṣya' explicitly refers to diseases of the testes, which directly falls under the ICD-11 category 'Disorders of the male genital organs', encompassing various testicular pathologies."
"Pregnancy, childbirth and the puerperium",,,,,,,,,Amrāḍ-i-Qabālāt,IB,95%,"The Unani term 'Amrāḍ-i-Qabālāt' directly translates to 'Obstetric Disorders,' encompassing the entire spectrum of conditions related to pregnancy, childbirth, and the postpartum period, which is precisely what ICD-11 chapter XV covers."
Diseases of the uterus,,,,,,,,,Amrāḍ-i-Raḥim,IC,90%,"The Unani term 'Amrāḍ-i-Raḥim' explicitly refers to diseases of the uterus, which encompasses a wide range of conditions within the ICD-11 chapter on diseases of the female reproductive organs, though a more specific ICD-11 code would require further clinical details."
Diseases of the breast,,,,,,,,,Amrāḍ-i-Thadī,ID,90%,"The provided term 'Amrāḍ-i-Thadī' explicitly refers to 'Diseases of the breast', which directly maps to the broad category encompassing various breast conditions within the ICD-11 classification, although a more specific ICD-11 code would require further clinical details."
Disorders of nails,,,,,,,,,Amrāḍ-i-Ẓufr,JE,95%,"The Unani term 'Amrāḍ-i-Ẓufr' explicitly refers to diseases of the nails, directly corresponding to the ICD-11 category encompassing various nail disorders."
T65- Poisoning by other substances,,,,,,,,,Sammiyat-i-Sumūm Mashrūba,nan,95%,"The Unani term 'Sammiyat-i-Sumūm Mashrūba' explicitly describes oral poisoning, which directly maps to the ICD-11 category T65 encompassing poisoning by substances not elsewhere classified; the 'oral' route of administration is implied and sufficiently covered within T65's broad scope."
Toxic effects of venomous animals and other invertebrates,,,,,,,,,Sammiyat-i-Sumūm Maldūgha,NB,95%,"The Unani term 'Sammiyat-i-Sumūm Maldūgha' directly translates to 'sting/bite poisoning,' which precisely corresponds to the ICD-11 chapter encompassing toxic effects from venomous animals and invertebrates."
Other specified personality disorder,,,,,,,,,Namaṭ-i-Sū'-i-Mizāj,OB,60%,"'Pattern of temperament derangement' suggests a persistent maladaptive pattern of inner experience and behavior, aligning broadly with the ICD-11 category 'Other specified personality disorder', though lacking the precise diagnostic criteria for specific personality disorders.  The confidence is reduced due to the lack of specific symptom details."
Other specified constitutional illness,,,,,,,,,Namaṭ-i-Sū'-i-Tarkīb,OD,90%,"The Unani term 'Namaṭ-i-Sū'-i-Tarkīb' describes a pattern of constitutional derangement, which lacks the specificity to map to a more precise ICD-11 category, thus 'Other specified constitutional illness' is the most appropriate broad category."
Unspecified modality of treatment,,,,,,,,,Namaṭ-i-‘Ilāj,OG,90%,"'Pattern of intervention' directly relates to the method or approach used in treatment, aligning best with the broad category of 'Unspecified modality of treatment' within ICD-11, which encompasses various therapeutic approaches without specific disease classification."
"Chronic migraine, unspecified",,,,,,,,,Bayḍa-o-Khūdha Balghamī,A-1.3,90%,"The description of 'Bayḍa-o-Khūdha Balghamī' as a severe, chronic, continuous headache with associated symptoms like heaviness, puffiness, and lacrimation aligns closely with the characteristics of chronic migraine, while the mention of phlegm can be considered a traditional humoral explanation for the underlying inflammation or neurological processes."
"6A00.10, Chronic migraine",,,,,,,,,Bayḍa-o-Khūdha Ṣafrāwī,A-1.2,90%,"The description of 'Bayḍa-o-Khūdha Ṣafrāwī' as a severe, chronic, continuous headache with burning and piercing sensations, linked to excess yellow bile (which can be interpreted as an inflammatory process), aligns best with chronic migraine in ICD-11; the 'helmet headache' aspect adds to the severity and chronicity."
Chronic migraine,,,,,,,,,Bayḍa-o-Khūdha Sawdāwī,A-1.4,90%,"The description of 'Bayḍa-o-Khūdha Sawdāwī' as a severe, chronic, continuous headache with associated systemic features (darkening of body color) points towards a chronic migraine, although the 'black bile' reference is not directly translatable to a specific ICD-11 pathology but supports the severity and chronicity."
"6A00.0, Migraine (episodic migraine without aura)",,,,,,,,,Shaqīqa Bukhārī,A-2.4,90%,"The description of 'Shaqīqa Bukhārī' as an episodic, severe unilateral headache with throbbing pain, sensitivity to light (implied by relief with cold), and association with autonomic symptoms (tinnitus, rapid pulse) closely matches the ICD-11 criteria for episodic migraine without aura; the 'vapours' could be interpreted as an alternate explanatory model for the underlying pathophysiology."
Amnestic disorder,,,,,,,,,Halāka al-Dhikr,A-14.4,90%,"The Unani term 'Halāka al-Dhikr' describes a complete loss of memory, directly corresponding to the core symptom of amnestic disorders as defined in ICD-11; the mention of coldness and dryness/moistness relates to humoral imbalances, not the primary diagnostic criterion."
Positional vertigo,,,,,,,,,Sadr-o-Duwār Rīḥī-o-Bukhārī,A-25.6,90%,"The symptoms described – giddiness, vertigo, repeated episodes, and ringing in the ears – strongly suggest positional vertigo, a specific type of vertigo triggered by head position changes, aligning well with the gas and vapor influence described in the Unani context, which could be interpreted as factors affecting inner ear balance."
8F60- Nightmare disorder,,,,,,,,,Kābūs Sawdāwī,A-27.4,90%,"The description of 'Kābūs Sawdāwī' as a melancholic nightmare with features like pressure on the chest, excessive thinking, decreased sleep, and sunken eyes aligns closely with the symptoms and characteristics of Nightmare Disorder as defined in ICD-11, although the etiology (black bile) is not directly reflected."
"8G40- Epilepsy, unspecified",,,,,,,,,Ṣar‘ Mi‘dī Sawdāwī,A-28.24,80%,"The description of 'Ṣar‘ Mi‘dī Sawdāwī' points to epilepsy with associated symptoms (gastric disorders, melancholic temperament), aligning with the broad 'unspecified epilepsy' category in ICD-11, as the underlying etiology is described through a traditional lens, rather than a purely neurological one."
"6A10.0, Hemiplegic migraine",,,,,,,,,Fālij Ruṭūbī Balghamī,A-32.2,90%,"The description of 'Fālij Ruṭūbī Balghamī' as phlegmatic hemiplegia, including paralysis of one side of the body, aligns strongly with the features of hemiplegic migraine, although the phlegmatic aspect is not directly reflected in ICD-11, the neurological manifestation is the primary focus."
Acute ischemic stroke,,,,,,,,,Fālij Damawī,A-32.3,90%,"The Unani description of Fālij Damawī, characterized by hemiplegia due to sanguineous obstruction in the brain with symptoms like increased body temperature and engorged vessels, strongly suggests an acute cerebrovascular event, most specifically an acute ischemic stroke, as the underlying pathology."
"6A00.1, Hemiplegic migraine",,,,,,,,,Fālij Waramī,A-32.5,90%,"The Unani term 'Fālij Waramī' describes hemiplegia (paralysis of one side of the body) resulting from inflammation (Waramī), consistent with the symptoms and pathophysiology of hemiplegic migraine as defined in ICD-11; the mention of fever and nerve pain further supports this association."
8G70-Other specified paralytic syndromes,,,,,,,,,Abūbalqisyā,A-32.6,90%,"The description of 'Abūbalqisyā' as a generalized paralysis affecting the whole body except the head and face closely matches the broad definition of 'Other specified paralytic syndromes' within the ICD-11, encompassing various conditions causing widespread paralysis with exceptions."
8G70- Other specified dystonic disorders,,,,,,,,,Tashannuj Balghamī,A-33.7,90%,"Tashannuj Balghamī, characterized by muscular spasm, heaviness, flaccidity, and coldness, aligns with the clinical presentation of dystonia, especially considering the 'phlegm' aspect potentially indicating impaired neuromuscular function;  while not perfectly specific, 8G70 is the closest fit within ICD-11's neurological categories."
Other specified convulsive disorders,,,,,,,,,Tashannuj Sawdāwī,A-33.8,70%,"'Melancholic spasm' with features suggesting neurological dysfunction, while not directly matching a specific ICD-11 category, best fits under 'Other specified convulsive disorders' due to the description of muscular spasm.  The mention of 'black bile' is a traditional humoral explanation and doesn't dictate a specific modern diagnosis."
